rule	scope	hits	rule_id	past	present	A	B	Change	P	Pfeat	Q	Qfeat	reliability	confidence	related_forms	exceptions	Pnatural_class	Qnatural_class	rule_left_side	rule_right_side	rule_tidy
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	bivd	biv	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	br2vd	br2v	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	Jivd	Jiv	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	dwivd	dwiv	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	fivd	fiv	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	fr2vd	fr2v	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	givd	giv	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	p2vd	p2v	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	kwivd	kwiv	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
[] -> d  [D, S, T, Z, f, s, v, z] _ 	712	698	rule 2	Smivd	Smiv	[]	d	/d/0	NA	[D, S, T, Z, f, s, v, z]	NA	NA	0.9803370786516854	0.9685169159602394	use, live, move, believe, pass, produce, love, increase, suppose, involve, realize, wish, raise, raze, cause, arrive, laugh, receive, prove, serve	give, leave, lose, drive, rise, choose, arise, freeze, forgive, weave, strive, dive, interweave, outdistance	0 syllabic, 1 sonority, 1 aperture		0 syllabic, 1 sonority, 1 aperture		[] -> d / 0 syllabic, 1 sonority, 1 aperture _ 
